,prices,market_caps,total_volumes
2023-12-20 00:00:26.956,1.0124435323283194e-05,5960220917.678356,196512276.9234401
2023-12-20 01:01:40.182,1.013267656026389e-05,5973199649.265968,182221920.19927174
2023-12-20 02:00:21.875,1.0013214372088046e-05,5899945574.624603,192269245.97916806
2023-12-20 03:01:12.874,1.0046076102893793e-05,5918070648.503064,185217112.25647202
2023-12-20 04:01:06.062,1.0060631481133406e-05,5915634140.462325,187102307.0901141
2023-12-20 05:00:43.750,1.0248681482492171e-05,6014970153.8467245,175945984.0042384
2023-12-20 06:00:48.206,1.0199986834408105e-05,6008437729.042236,176390717.9789033
2023-12-20 07:01:10.895,1.0191184816007502e-05,6008149243.357146,173147025.5180021
2023-12-20 08:01:16.171,1.0197679586117656e-05,6008898117.902309,172317280.48459446
2023-12-20 09:00:46.659,1.0199119719934043e-05,6003526972.268069,183663997.11124665
2023-12-20 10:00:41.698,1.020251249639938e-05,6012948790.049895,180191509.27992272
2023-12-20 11:00:47.150,1.0216656476627264e-05,6022357693.187303,180071473.95787185
2023-12-20 12:00:39.610,1.0333725922386854e-05,6089393383.416127,185003692.1823788
2023-12-20 13:01:03.942,1.0298483807839989e-05,6075645921.340669,182324571.46355492
2023-12-20 14:00:33.100,1.042853942775251e-05,6151816673.404034,166694569.0297037
2023-12-20 15:00:00.421,1.040862101547085e-05,6141814617.156121,165575087.23261136
2023-12-20 16:00:05.947,1.0451589943553858e-05,6160134571.038856,175461810.80092043
2023-12-20 17:00:50.456,1.0359120334242798e-05,6113050544.027521,175691064.19584715
2023-12-20 18:00:45.317,1.0359688095726884e-05,6108331810.2124195,158207199.00462747
2023-12-20 19:00:13.336,1.040711200563796e-05,6132447387.105984,159148860.3257013
2023-12-20 20:01:16.288,1.0250056319468901e-05,6053602438.936314,175583540.74719736
2023-12-20 21:00:49.302,1.0167873511429367e-05,6002793092.730683,182273218.73982224
2023-12-20 22:00:14.645,1.0110937802445051e-05,5963856014.077378,182878220.98550266
2023-12-20 23:00:06.569,1.0180821670129906e-05,6001771139.686422,183469575.88645312
2023-12-21 00:00:50.926,1.0239238793324005e-05,6031467651.469218,172413991.98591343
2023-12-21 01:01:32.469,1.0216435748901367e-05,6028656029.719737,180928328.66783103
2023-12-21 02:00:36.420,1.0175739695719915e-05,5994757604.975064,179612341.97407737
